Initial parameters - (54,45) cm
Number of elements - (Adaptive perimeter (cm) , Fixed perimeter(cm))
1-(488.2034983678538,488.2034983678538)
4-(25.761059759436304,0.0)
2-(224.45738481163986,196.01586687317862)
2-(121.89379495928397,103.04423903774521)
2-(243.6746266619515,210.23662584240924)
3-(239.59879971378157,239.59879971378157)
3-(98.01769079200153,51.52211951887261)
2-(238.3840505543935,237.94422758289096)
6-(86.75334301551378,86.75334301551378)
2-(250.69909375646552,250.69909375646552)
