Initial parameters - (85,75) cm
2-(190.34998983115642,74.31712310166697)
2-(129.14179700515274,5.762232412303404)
2-(137.7260661810496,2.3343401047635526)
3-(95.60603048074724,0.0)
2-(115.18761079844197,4.125176144296819)
3-(67.96897376561715,0.0)
5-(109.47119681638593,2.3491673136563502)
3-(46.49474289260264,0.0)
2-(125.81776171573847,0.0)
2-(124.5657728322937,1.1723837443039409)
2-(151.6822819875211,2.426916511800338)
2-(139.32286869498597,22.427583741144087)
3-(133.49700444657788,1.1744604496766382)
4-(64.32387847827597,0.0)
2-(181.81123595449705,70.12202738602866)
2-(102.3064603926942,0.0)
3-(101.80623937695283,0.0)
3-(169.26045463397827,0.0)
2-(146.32037634017396,6.468900848723481)
2-(289.63915300177206,149.73512348394482)
2-(202.87671701292095,102.23084568229218)
3-(182.49471959037325,1.0252512336537825)
2-(275.7844865711573,165.97749344941013)
3-(368.46474764711314,124.40544820910739)
4-(213.12814227043646,43.7294793901493)
3-(205.374370856053,1.2522827491222746)
4-(252.00025714882307,5.326834703958863)
3-(136.05631190504428,17.05904828167222)
2-(125.57646909602205,0.0)
3-(215.7018660517621,24.386675938973106)
2-(98.8959988457736,0.0)
2-(87.87149536862005,0.0)
4-(210.45580858975782,2.3127011932940422)
4-(142.03511287437215,0.0)
2-(112.67337833824409,0.0)
2-(82.02176259043549,0.0)
5-(337.12238055043514,2.6634951059289462)
2-(103.89559075068755,0.0)
3-(139.11463922711116,0.0)
4-(74.56009763632728,0.0)
5-(213.60668125404922,1.271468340797912)
3-(80.47112432962186,0.0)
2-(81.97660468685643,0.0)
2-(85.44760602698095,0.0)
2-(187.2355544817971,65.84107410348908)
3-(209.34696342466748,48.39948145230845)
4-(219.75014012350064,0.0)
2-(71.73459133220318,0.0)
2-(176.39933747050722,156.18164836213964)
3-(367.7540599978198,21.991937142726766)
4-(449.7386674427877,99.0868080141329)
3-(104.95200761080775,2.8623274802947574)
5-(315.8288033985205,0.5492674841713401)
4-(134.75429325034716,2.6950858650069436)
4-(214.7876366284844,1.7155562031029106)
2-(71.56199115146589,0.0)
2-(144.1643792164393,12.67379157946719)
2-(168.0101521188315,20.30891948689172)
3-(150.31856488010382,4.090301085172894)
3-(142.18692853583943,1.9318876159760794)
2-(71.56199115146589,0.0)
2-(144.1643792164393,12.67379157946719)
2-(168.0101521188315,20.30891948689172)
3-(150.31856488010382,4.090301085172894)
3-(142.18692853583943,1.9318876159760794)
2-(255.64539210220028,154.48769555844888)
3-(145.65880620246804,0.0)
2-(102.70924963030456,0.0)
3-(284.3833767909398,89.56956749320938)
3-(164.5146321808261,2.5052989672207024)
4-(360.07490956637434,98.0711369179444)
3-(66.84199246981991,0.0)
3-(184.41517910977618,5.985076806808152)
3-(167.94428895328437,13.9953574127737)
2-(182.65461507902836,117.9939373895532)
2-(82.05337110510517,0.0)
2-(171.29841018626362,76.30565544660833)
2-(84.92333832588093,0.0)
2-(106.27260667343873,0.0)
2-(142.3184582543016,5.957516857156812)
2-(113.26030673374845,0.0)
3-(191.1406712950362,1.1678656087273087)
3-(70.85089474034243,0.0)
3-(119.77774727587223,2.318278979533011)
4-(370.92174121746893,2.187038568499227)
3-(58.34608705219066,0.0)
3-(119.9141836448177,0.0)
3-(173.87305522644638,1.5524379930932712)
2-(111.71234501470556,0.0)
2-(140.09201715447202,0.0)
2-(182.7858529885118,15.450797780528113)
2-(128.02055868226103,4.237087048585472)
4-(180.03954330397497,2.71611379984445)
2-(240.3432610824992,111.01056453586287)
2-(223.6634352216627,142.0920647290563)
2-(136.71217105621008,26.962678180530325)
3-(195.6120765026423,12.692386643301218)
3-(136.97417844589026,3.7573964162214284)
2-(145.8233758176594,53.87363606596861)
2-(106.16395837637475,0.0)
2-(86.43749947606344,0.0)
2-(154.37969524091056,59.15862337315734)
2-(116.29160531228098,0.0)
2-(142.1748149082894,29.235947854380633)
2-(90.12391584826908,0.0)
3-(150.85069699263943,2.9636679173406564)
2-(188.32328533382383,40.513244576015886)
2-(271.5973570686039,137.493807669959)
3-(320.99580833162315,156.11271552740143)
3-(104.60897981340418,0.0)
4-(91.29921937939636,0.0)
2-(256.91942999601235,121.94626466007911)
2-(143.68780225125113,38.26247425387424)
2-(185.36113711207656,87.84337813035779)
2-(113.01488288970785,0.0)
3-(88.79132115415749,0.0)
3-(86.90345877836023,0.0)
2-(188.74763956961647,85.69142836460587)
2-(293.21483949102077,167.0833163580118)
5-(425.20548875908764,1.8628937075973169)
4-(279.0349546573398,105.66397180038972)
2-(255.34299146636008,116.19342211954697)
2-(98.38823875261606,0.0)
3-(143.36055996446913,9.634446234171314)
2-(128.92598216999872,4.934965824688945)
4-(255.69861573073192,4.85267445912338)
3-(158.8213434935307,0.0)
4-(45.90537074643045,0.0)
3-(88.02183239949093,0.0)
4-(306.63000150004115,0.0)
2-(92.4771881955674,0.0)
4-(71.677908960644,0.0)
4-(312.67815357459665,1.3579941523326673)
2-(180.3864278386384,22.05018190074667)
2-(83.81728997842787,0.0)
3-(47.14162142822971,0.0)
4-(30.235472804663075,0.0)
3-(80.25785194675699,0.0)
4-(79.57906035275666,0.0)
4-(108.67498003509661,0.0)
5-(120.9508846117682,0.0)
4-(200.47779061491144,2.6528252066245375)
2-(99.7599553706892,0.0)
3-(65.40766124385468,0.0)
5-(72.42512814976581,0.0)
2-(95.92967747260404,0.0)
2-(78.58080879227757,0.0)
2-(107.72408109571613,0.0)
4-(57.30330060585222,0.0)
3-(133.38295881728826,4.008777450792816)
3-(87.457845820478,0.0)
2-(310.14980225167625,172.89724775456722)
5-(105.95821826544692,0.0)
2-(93.30855709465214,0.0)
3-(162.10001175813872,0.3248497229622018)
3-(129.6819394015744,2.954778366111822)
2-(85.29768023879814,0.0)
3-(324.70114691983815,5.844620644557087)
2-(107.95506123556413,0.0)
4-(269.5158704249047,4.568065600422114)
5-(153.7191540919266,0.0)
3-(82.47673935696584,0.0)
3-(83.08609991741683,0.0)
3-(232.86067130330454,82.00409022641291)
3-(243.2482876379552,45.778784595340845)
4-(239.26871335381497,2.705299522844641)
3-(176.4751908192351,1.440613802606001)
4-(76.29370722637938,0.0)
3-(178.03906279685137,3.0873825918529136)
2-(87.32529985914408,0.0)
3-(114.57216494216472,3.1049367192998565)
3-(258.4934699142296,0.0)
4-(313.9832679234816,1.569916339617408)
2-(80.6062053513341,0.0)
2-(93.23046449842425,0.0)
2-(104.7592815395987,0.0)
3-(149.87084049222062,0.0)
4-(58.08135507257103,0.0)
4-(287.1116644079584,1.9892263122953235)
4-(122.07130744705528,3.2018703592670237)
5-(133.80713676682197,3.0214514753798514)
5-(140.49202330577373,0.0)
2-(112.97151665860807,0.0)
6-(397.8212295998552,2.5665885780635818)
2-(253.58406246141124,152.40444488498835)
4-(62.39557276568732,0.0)
4-(227.65762793076507,58.37375075147822)
5-(226.5026162154684,2.578777414217857)
3-(98.41854801506628,0.0)
2-(120.60317196720156,4.020105732240053)
2-(134.1932393927578,0.0)
2-(219.71020359777384,65.06439505685148)
4-(78.68000756696816,0.0)
4-(96.95106815474061,0.0)
2-(170.35168273691596,7.653070605485409)
3-(176.30284946191307,2.7764228261718595)
4-(64.82146492409925,0.0)
4-(80.72499542148236,0.0)
2-(106.68399422713784,0.0)
3-(187.5224239745324,2.382317545955947)
2-(134.4995986875635,0.0)
3-(119.75209879267113,0.0)
3-(147.3887696474573,2.344821335300457)
3-(191.62381153196526,1.323825986403905)
4-(110.22488869016802,0.0)
2-(93.79144693019487,0.0)
3-(264.02272961745797,114.92754112759935)
3-(166.76183742891757,0.0)
3-(181.6879334602481,11.380899635093844)
3-(110.91646121094354,0.0)
2-(104.94952965425416,0.0)
4-(98.066785671193,0.0)
2-(84.41003324556189,0.0)
2-(173.48933025045375,4.157092577886272)
2-(117.6708150998816,2.3806234268762174)
2-(72.86067586591257,0.0)
3-(121.28248882033745,0.0)
4-(310.7531342031842,0.0)
2-(115.96772302032625,4.1877233312895585)
3-(242.70837373260775,0.0)
2-(115.04999595112162,2.272592512614748)
3-(111.34582413233998,3.9414451020297343)
2-(60.11264078224236,0.0)
4-(71.3646274449927,0.0)
4-(45.048853386111645,0.0)
4-(306.59815951066895,2.099987393908691)
3-(139.77328013675114,0.33438583764772994)
3-(304.5384806167473,22.129093747237693)
2-(260.0323920001325,120.88584515736497)
2-(112.46768353536898,0.0)
3-(315.76846599617875,2.5612737682192943)
3-(152.29162162405714,2.6584572353326683)
2-(90.05025603042982,0.0)
3-(130.29108480185303,0.0)
4-(104.15306630506942,0.0)
3-(97.30745452405178,0.0)
2-(92.86642421669801,0.0)
3-(103.77993244789072,0.0)
5-(195.2727798720539,0.0)
3-(76.07686705178348,0.0)
3-(93.99545753114133,0.0)
4-(134.9445418678341,0.0)
2-(65.242166641819,0.0)
4-(101.40761208113706,2.5442770056199264)
5-(271.1416038168151,0.8216412236873186)
4-(329.7016097768814,13.008634943577635)
7-(177.80162249059234,2.906838514832572)
3-(105.99901783932638,0.0)
2-(83.82432442882909,0.0)
5-(136.4103546249296,0.0)
2-(73.2659743206447,0.0)
4-(86.30018784777899,0.0)
2-(92.32759378061449,0.0)
2-(80.9885241596418,0.0)
