Initial parameters - (85,75) cm
Number of elements - (Adaptive perimeter (cm) , Fixed perimeter(cm))
3-(102.64046151331827,0.0)
2-(112.24708479846038,0.0)
3-(245.98395739627458,94.60921438318252)
2-(84.99600134420692,0.0)
2-(176.04080903930105,35.14540216114388)
2-(303.821273277117,148.14114193288708)
3-(62.45026880932196,0.0)
2-(86.41725411328423,0.0)
2-(171.68230247753553,43.08502226926659)
3-(53.145048730644284,0.0)
4-(241.70424434077975,4.78622266021346)
3-(240.31807715403417,0.0)
2-(104.39953624869234,0.0)
2-(242.76666324626413,118.98153054078698)
3-(118.80667169704105,0.0)
4-(351.04474717505735,1.468806473535805)
3-(127.67366149464351,0.0)
2-(173.72500782453406,17.437082569748775)
2-(320.99109045972625,182.49239660654487)
3-(235.17297280258896,64.20841033754897)
2-(113.2423767555923,0.0)
2-(148.1265086358036,2.142325538121126)
3-(157.96825125286043,0.0)
2-(265.78444526426506,129.9308360553719)
4-(152.31083651365932,0.0)
5-(71.91325045730396,0.0)
5-(216.17544820276458,0.7652228254965119)
6-(61.22517341900362,0.0)
2-(93.45893772065972,0.0)
5-(127.82157332826085,0.0)
6-(217.72093505665416,0.0)
2-(86.28806020915444,0.0)
2-(296.0872661604762,181.73932049203972)
5-(161.556530624683,0.0)
5-(92.0367503038307,0.0)
2-(104.5485773778051,0.0)
4-(73.23280615182343,1.2482864684969905)
2-(277.1874431232567,151.19315079450362)
7-(82.50344561145906,0.0)
7-(363.59291077796536,0.0)
2-(253.28379155525346,153.56907627519521)
7-(520.4894639377329,2.859832219438093)
7-(491.70354128755025,3.6655216070424403)
2-(85.1703330349807,0.0)
3-(108.39292092268644,2.417685968535757)
2-(88.91704103394417,0.0)
2-(83.84756886144287,0.0)
3-(143.0349017497005,25.29022900501951)
2-(82.27375999687524,0.0)
4-(178.51506513109015,0.7778434210505016)
4-(200.10687476754637,2.088071736704832)
2-(113.51877617490558,0.0)
2-(108.10171997282515,0.0)
6-(183.7543791712914,0.0)
2-(247.7377641021176,119.75363680019305)
2-(141.84599547009248,9.202536618865063)
3-(134.90574608125738,2.5137716661103857)
7-(145.75312506163002,0.0)
3-(92.55883725604696,0.0)
2-(87.99403053633313,0.0)
2-(108.1881164232186,0.0)
3-(319.92200462869806,2.070692586593515)
2-(117.14525999569567,0.0)
3-(414.9249805635184,120.32824436342032)
3-(88.2482542837803,0.0)
3-(205.44531183702432,13.241592364495707)
3-(174.14891001145318,5.300184217739878)
2-(99.27410695693806,0.0)
6-(374.1170433604903,0.8580666132121338)
2-(185.6038032571255,93.99677589845841)
2-(93.16020510216028,0.0)
3-(109.86209452339821,0.0)
4-(223.3081348999362,33.472311441103926)
2-(119.98876367605192,0.6075380439293768)
3-(78.9103090036466,0.0)
2-(134.1975876070309,6.860817362322643)
2-(167.46110905946472,69.06806110977922)
3-(112.65367266466878,3.6457499244229377)
2-(182.94026849779038,60.75381829518456)
3-(103.90913759734765,0.0)
2-(75.72929005349562,0.0)
3-(105.06849612565578,0.0)
2-(106.2613583990904,0.0)
2-(155.91255278786588,39.844319045787955)
3-(115.58534125610477,0.0)
2-(105.1392389743115,0.0)
2-(150.1710686868052,39.66782946443911)
2-(119.05518802062001,0.0)
2-(303.3599210948419,163.16791648105104)
2-(81.37282752761509,0.0)
2-(178.34505061719324,41.52799915093489)
