Initial parameters - (55,45) cm
Number of elements - (Adaptive perimeter (cm) , Fixed perimeter(cm))
3-(117.52966426370703,38.64856884143466)
2-(119.57323485523634,65.41205407835685)
3-(253.55269454692916,243.2808369853265)
2-(97.13828725052221,13.599360215073107)
2-(182.9443701780972,138.07122277592242)
2-(305.7060206299527,243.13240851580704)
3-(79.76841057997427,0.2623960874341259)
2-(96.23195610398965,22.741382661390592)
2-(179.575741671905,140.43743899982314)
3-(64.9888024477593,6.3774058476773146)
4-(239.31113301067302,134.01423448597689)
3-(242.59597361994915,0.8542111747181309)
2-(113.30565782441016,49.72584546442455)
2-(246.83124969330964,205.0768616463875)
3-(125.16533863293904,48.52666872132663)
4-(365.2432097525701,118.9733243564002)
3-(129.37976832976125,13.080152402569267)
2-(180.8290044270243,142.07993204980482)
2-(320.99109045972625,265.1842638188855)
3-(234.39937749731726,148.53029861216146)
2-(125.27779843976153,68.93014237296923)
2-(159.75627584274685,114.76743954220318)
3-(158.27203635142362,45.87154988304216)
2-(268.00548519683554,218.40226003609527)
4-(160.86304925907868,64.75246792960382)
5-(78.29608333812976,2.9786553443853707)
5-(208.14060853505123,29.843690194363962)
6-(125.3658312865312,3.3319822268845503)
2-(104.57869801603564,46.33233456406643)
5-(123.58652119991484,4.620056867286537)
6-(156.02023685467816,1.5719923108783693)
2-(97.47354949552633,23.51235503053679)
2-(297.39161535061044,265.2176686606321)
5-(172.75778341466102,2.1540870749957737)
5-(96.68080651182217,0.8443738559984468)
2-(118.07839327375636,95.01620708747582)
4-(79.8903339838074,45.354408355390646)
2-(277.97490745031143,235.05810162582986)
7-(85.86114397936727,0.9593423908309193)
7-(364.5373079488172,4.72198585425929)
2-(257.9119007032731,235.19209215844967)
7-(521.0614303816204,49.76108061822281)
7-(487.5143737366446,46.0808430599621)
2-(94.87635389366797,11.889875551891894)
3-(122.49608907247836,100.33396769423392)
2-(98.2277259589645,21.18180820442125)
2-(93.5587279668642,9.948016644577967)
3-(147.5954348489663,120.23223625337143)
2-(90.92305271449548,12.024626461081768)
4-(185.51565592054465,37.33648421042408)
4-(202.19494650425122,30.277040182220063)
2-(125.74387514758772,76.55240547179531)
2-(112.28789136129446,52.69651041955486)
6-(181.59763763172222,12.509100929501058)
2-(248.97233767737734,234.56897929934723)
2-(153.904491729295,113.60372791564457)
3-(148.31252830051278,122.75584969505717)
7-(102.15541609891372,2.991999634696218)
3-(104.99757427859872,61.09614949312191)
2-(100.74316564244957,21.748524592786882)
2-(121.78718133675164,88.84722410174935)
3-(321.64758178419265,63.15612389110221)
2-(131.37476897822364,121.44720457180878)
3-(414.9249805635184,236.50723892120547)
3-(99.90368409484562,36.63135083477673)
3-(211.86547783193132,127.19953877409515)
3-(183.23494009900725,104.86793059385332)
2-(109.93064951163758,61.97620801548957)
6-(375.83317658691465,32.17749799545502)
2-(194.7645059929922,194.7645059929922)
2-(105.20678334812929,45.241593857083586)
3-(126.37316075234824,32.069570944691385)
4-(224.74266253312638,157.31986377318844)
2-(132.74706259856882,89.61186147958308)
3-(90.5327576165868,12.234156434673892)
2-(138.8629434134103,90.01392379367306)
2-(180.96603720942153,180.96603720942153)
3-(124.32007242282216,73.64414847334335)
2-(190.7466250385124,154.43009678384902)
3-(106.86740485990559,75.06603178740774)
2-(68.97084082675346,1.5596421292481935)
3-(114.83542675142097,17.758055683209427)
2-(118.73080351735103,62.61830048517828)
2-(164.92083361560924,138.24246347190774)
3-(123.64943483211209,47.376549759042945)
2-(108.4769925925436,36.71528980055321)
2-(163.2756194920217,146.62929819890883)
2-(133.35511283873916,123.37842110516767)
2-(303.3599210948419,248.4513859544405)
2-(86.45862924809103,2.2112181393373667)
2-(183.49581020180534,143.25550094702345)
2-(199.46435398513447,164.75965970652584)
2-(145.41162969871533,130.1586615485004)
2-(147.0634266001038,100.08483199173732)
3-(98.46705882431077,5.722056687127018)
2-(128.83242419880835,106.61993726797932)
3-(80.44636991582708,33.163605557136876)
5-(99.60469409902926,44.63417895947066)
3-(58.34634402208959,1.8233232506902997)
2-(125.59388669489198,65.59538110802735)
2-(132.4793631063453,86.46330114241565)
2-(159.26639608689717,115.27853431051604)
2-(152.91534368961877,130.82757182334052)
3-(153.07134527452186,90.43345462510115)
4-(86.75259926346429,30.469205594972827)
2-(190.12467219098497,161.20837223798344)
2-(112.62073569114021,59.65553821263368)
3-(105.87848895203093,8.415982455161434)
3-(169.26045463397827,54.53947982650412)
2-(157.71796354982965,114.90000078923136)
2-(290.0172720004689,236.324374185519)
2-(211.59407594706988,194.55560166668786)
3-(194.79773439421865,55.02181620608632)
2-(275.36215198222743,250.0220766464397)
3-(365.4410041142529,220.73327789879815)
4-(213.12814227043646,123.12183517614854)
3-(205.374370856053,105.50482161355161)
4-(256.0978223057145,110.22450272037952)
3-(149.37069105171526,112.34007405003655)
2-(132.62546008478006,78.06104835698667)
3-(215.7018660517621,117.1247393688708)
2-(111.05967784819494,46.27486577008123)
2-(100.569688340964,27.68206067970978)
4-(216.46883169232234,110.0845768007964)
4-(156.9547675880667,2.088751659917237)
2-(120.4358449043444,57.159981077647835)
2-(78.85273994489592,0.745652387185777)
5-(337.8833791521292,47.181913305027045)
2-(117.10265737153765,78.06843824769177)
3-(141.24549803365332,38.65986691869391)
4-(88.3302057583517,3.6944192522504506)
5-(219.5402001777728,19.07202511196868)
3-(96.70652660665084,42.706166859141426)
