Initial parameters - (55,45) cm
2-(78.68290181997381,4.208620329905576)
2-(98.01343044271343,24.629015854835686)
2-(196.15153326664458,159.45885134438763)
3-(212.80406924268954,147.50318156894002)
4-(219.75014012350064,37.50122008487172)
2-(80.776766710212,2.8131212287138507)
2-(305.2871055363506,305.2871055363506)
3-(371.4193828549409,135.61694571348173)
4-(446.37163998599675,168.35137283954617)
3-(118.6275722388827,64.87942288668116)
5-(329.56049050280404,121.9373814860375)
4-(167.0953236304305,167.0953236304305)
4-(189.7405160631819,20.243563196614346)
2-(80.18864213958781,2.1566627470304787)
2-(148.1249390850228,94.52536219685946)
2-(172.01039383594656,128.62315675031425)
3-(153.38629069398348,98.50808446791385)
3-(154.55100927808635,85.77581014933793)
2-(80.18864213958781,2.1566627470304787)
2-(148.1249390850228,94.52536219685946)
2-(172.01039383594656,128.62315675031425)
3-(153.38629069398348,98.50808446791385)
3-(154.55100927808635,85.77581014933793)
2-(260.72443962740954,239.56174160570427)
3-(151.1622875451306,85.85430894553534)
2-(95.0107501150532,24.78541307349214)
3-(282.59198544107556,203.77076604705135)
3-(168.27258063165715,132.3632954348271)
4-(357.19046436290535,203.83412771180605)
3-(75.73230673920483,25.68313011155642)
3-(188.15585211403126,115.58679583148243)
3-(177.8883586939394,137.37548197275237)
2-(271.3860559959723,271.3860559959723)
2-(91.09506489079166,1.1302117232108149)
2-(185.31373465604878,185.31373465604878)
2-(92.93497401700178,6.008726768340631)
2-(120.0820414389138,86.75927493961522)
2-(148.27597511145842,119.48131030186715)
2-(129.25752519896716,109.42097430209596)
3-(189.97280568630887,119.51158062642793)
3-(81.367824428362,5.535226151589251)
3-(120.55050693571657,93.89029867108694)
4-(372.23396435856847,115.03822870305936)
3-(70.8247299477459,27.318110122701988)
3-(139.11494416800602,55.4286105669399)
3-(176.9779312126329,125.74747744055497)
2-(117.24037858244357,52.28598416152198)
2-(146.1282979654367,86.01700155624673)
2-(188.616342717013,132.93516580982677)
2-(138.00797815392679,92.91326599398141)
4-(189.35193347487024,79.15531645260968)
2-(242.8580635153505,198.3101347048424)
2-(237.25866363709707,237.25866363709707)
2-(175.44728618880293,175.44728618880293)
3-(200.09174237674858,140.3628640553311)
3-(144.4889712783331,87.44486205024417)
2-(199.2919469508012,199.2919469508012)
2-(119.24433147145817,90.65002749615952)
2-(96.20444856940392,20.998940550682075)
2-(201.3824370990356,201.3824370990356)
2-(128.83285686556619,78.38282220803254)
2-(197.04227868979822,197.04227868979822)
2-(98.70714592905661,30.75657445615532)
3-(151.73979736784162,56.60605722120654)
2-(193.0709311825757,147.49353103455786)
2-(273.8575292494799,224.51043663368645)
3-(319.24173287625905,235.92314874646618)
3-(111.9285585758581,26.228490565459936)
4-(86.514980809297,31.09755070564593)
2-(258.3668634044406,209.15412751788048)
2-(203.52379922273528,203.52379922273528)
2-(196.97039413370976,182.65231047369548)
2-(121.47855253343047,61.98393356726267)
3-(100.54311365985482,29.771207681099863)
3-(97.7298155958664,22.823130588256223)
2-(197.80752626895807,172.13784728749022)
2-(292.39580362652066,251.03449246926775)
5-(425.6712121859869,28.40912904085908)
4-(288.780660794269,201.06930556190662)
2-(256.0493344579682,204.48629607057052)
2-(111.80481676433645,60.93362513656336)
3-(146.8289606087708,100.96899653411538)
2-(137.8706077272474,94.68965676121914)
4-(260.5512901898553,92.57409737404602)
3-(161.30681052785826,2.9825604411930655)
4-(62.362013089490404,2.020991164937189)
3-(105.62619887938911,38.1427940397794)
4-(306.63000150004115,22.10588382907273)
2-(105.13468043462551,33.83941802686964)
4-(74.84440293079294,0.0)
4-(310.98066088418074,25.46239035623751)
2-(180.3864278386384,123.79981645479455)
2-(93.7617142131566,2.6044920614765714)
3-(60.97921179771007,0.46907085998238524)
4-(44.91288678750924,2.054837957598462)
3-(84.91798528560093,10.355851864097676)
4-(88.4974033233242,0.6860263823513504)
4-(114.29040453539035,2.642552706020586)
5-(129.0142769192194,1.290142769192194)
4-(214.49986670706974,12.506175974087103)
2-(112.43216591777676,50.149599186346464)
3-(78.07463789319272,2.0727779971644087)
5-(72.0882670886041,0.3368610611617014)
2-(106.84661413413527,39.25451693188882)
2-(90.27051588534363,3.030664801906021)
2-(121.11519614905102,82.42975266163914)
4-(67.39818257786764,0.8907248798837134)
3-(144.68042254224983,89.28640685856728)
3-(95.49284225628163,32.13998574321453)
2-(312.19834784118535,262.21383545716355)
5-(104.40571689892022,1.5525013665266947)
2-(106.0088884769798,37.84180371060892)
3-(166.32305815664733,63.67054570059155)
3-(139.20289191460137,82.40548554378526)
2-(94.69876865221406,17.197112951370592)
3-(324.70114691983815,113.64540142194335)
2-(119.33205832127932,61.68860642032236)
4-(274.08393602532686,6.5258080006030195)
5-(166.17235138544982,2.724136907958193)
3-(99.65939338966704,4.582041075386991)
3-(95.69449640293921,13.901565355832387)
3-(236.34197702046362,173.29166236524992)
3-(244.8001108445769,137.72430958767796)
4-(239.26871335381497,45.08832538074402)
3-(178.99626497379563,96.52112477460206)
4-(79.61082493187413,2.764264754578963)
3-(181.81253040911605,79.92890487796988)
2-(97.16139132679491,14.874089536447618)
3-(125.43944345971421,38.19072164738824)
3-(260.23026814433643,15.341717699276785)
4-(313.9832679234816,18.21102953956193)
2-(86.63659477911472,4.020259618520404)
2-(106.35774254561618,46.61523224921213)
2-(116.29016264583086,55.20102657238807)
3-(149.87084049222062,36.074585871904375)
4-(70.7590112559241,1.7689752813981023)
4-(287.4432021266743,45.08912974536067)
4-(124.87294401141392,56.83319887698967)
5-(135.9653163920933,19.855252552496164)
5-(136.43156020445082,6.0906946519844105)
2-(125.96022044556034,87.5982348422362)
6-(400.9011358935315,69.81120932332944)
2-(257.3941735835359,237.9202722926763)
4-(69.04687747675044,0.31672879576491025)
4-(232.2441369183812,141.76482325358998)
5-(234.66874469382498,82.52087725497142)
3-(91.76489969855476,17.74306217736406)
2-(133.59120587136172,95.86405976880125)
2-(126.35713782237775,68.32101056675077)
2-(219.71020359777384,166.2756762563982)
4-(82.51805671657635,2.878536862206152)
4-(101.00605579619365,16.957221046076302)
2-(178.28820040186378,122.44912968776654)
3-(176.30284946191307,81.90447337206984)
4-(69.16703799163662,14.123112469496483)
4-(86.70462471196255,22.124628374776652)
2-(120.20731743902856,86.84978684969812)
3-(190.24507259848207,78.61647901654626)
2-(139.00944716426682,87.01354707992273)
3-(122.18498567559222,49.198379187959695)
3-(154.0882591768872,85.75346597670243)
3-(204.20015840280234,45.341040034333744)
4-(69.64759450202924,2.4225250261575386)
2-(106.27998198340016,32.62311197571996)
3-(264.02272961745797,197.24050977304213)
3-(166.76183742891757,51.922183814864454)
3-(185.34607977152828,134.94495281611273)
3-(115.73891604620196,57.52499696343967)
2-(118.51042393542183,79.89135543905302)
4-(101.16037512454294,1.8561536720099623)
2-(93.73710874230906,17.954620331238303)
2-(160.1866340012177,106.698709499081)
2-(131.9545556611389,131.27437753917428)
2-(81.5393713291653,3.4311121598906196)
3-(133.79300342644675,47.26194406752405)
4-(312.92117932553197,3.6134085372463276)
2-(132.39648378153913,111.77999968903669)
3-(244.38801645740094,4.199106811982833)
2-(127.26518070642591,74.71147885220985)
3-(120.87098312891185,74.23054942155999)
2-(53.537820696684605,0.0)
4-(72.4244981496213,6.359224227771627)
4-(55.86057819877843,1.5016284462037213)
4-(306.94815740965373,48.999705857869465)
3-(155.82380034384215,47.14840310832992)
3-(203.72816465710892,102.91784869747053)
2-(262.5888902360889,213.28499568550194)
2-(129.40173815859217,109.27257888947783)
3-(317.2320510065897,146.7243972937053)
3-(162.5456709603403,98.36291770730872)
2-(102.62710743132783,24.902165773778076)
3-(128.90205404703585,53.894393286907224)
4-(105.297605495235,1.716808785248397)
3-(114.38964089817998,32.33413849388555)
2-(105.93853085130654,52.56076209332175)
3-(107.25858940145129,27.249479469557897)
5-(236.72017516218347,22.646514952338855)
3-(89.2598620643669,2.7464572942882124)
3-(98.40149460291356,10.280753167468582)
4-(135.62953954229013,15.754946512488244)
2-(71.89219464663249,0.0)
4-(103.588420943097,36.34681436599895)
5-(269.90914198128417,35.74139323039836)
4-(333.29019872683386,124.70346601084765)
7-(202.50974986666918,16.472084917384574)
3-(116.71801964330318,19.651503307290845)
2-(96.32444298400536,15.931523648754066)
5-(140.55542064944405,8.666956233075638)
2-(85.08987795740579,2.3225525000780736)
4-(84.06587877728633,0.8378659014347475)
2-(105.13604609700032,45.63011137712451)
2-(90.5854302016803,8.426551646667935)
