Initial parameters - (100,90) cm
Number of elements - (Adaptive perimeter (cm) , Fixed perimeter(cm))
2-(139.5889937535583,0.0)
2-(181.03670606996147,0.0)
2-(124.69141885837244,0.0)
4-(188.57590096062896,1.5520650284825428)
2-(238.54697363046262,42.033126377656814)
2-(221.90921220031632,91.65815286534803)
2-(132.15509868766972,0.37975603071169467)
3-(191.87902160755368,1.119916468526578)
3-(135.6078524763552,0.0)
2-(143.39298622069842,1.215194798480495)
2-(101.60103752925264,0.0)
2-(82.77489356606074,0.0)
2-(152.7589110389063,5.26754865651401)
2-(112.87126397956685,0.0)
2-(137.7693981083142,0.0)
2-(86.78599303907393,0.0)
3-(151.44343057610754,0.0)
2-(187.37375616407348,14.559447269505709)
2-(270.09057561468654,71.57211906107455)
3-(316.17210082937197,85.07265958515694)
3-(105.52392715871089,0.0)
4-(88.90710009434669,0.0)
2-(255.47199658758416,52.46946105552365)
2-(139.21027866835095,0.0)
2-(181.49138477153215,25.15339021353857)
2-(144.13131540339393,0.0)
3-(85.65750981930486,0.0)
3-(85.44043758680533,0.0)
2-(185.35018205736338,23.782202585771675)
2-(292.80532155877074,111.38887757200789)
5-(425.6712121859869,0.0)
4-(273.3927037359598,62.064760135180364)
2-(255.69616296216415,41.321065009079014)
2-(94.4750701658643,0.0)
3-(144.13131566320288,0.0)
2-(125.53319316552505,0.0)
4-(254.20548512792473,4.85267445912338)
3-(159.31843690039625,0.0)
4-(47.34893586424272,0.0)
3-(87.14161407549602,0.0)
4-(306.63000150004115,0.0)
2-(88.60244567340675,0.0)
4-(69.95073043147187,0.0)
4-(312.67815357459665,0.0)
2-(182.2460817338821,0.0)
2-(80.26570989459616,0.0)
3-(41.981841968423474,0.0)
4-(28.18063484706462,0.0)
3-(79.22226676034722,0.0)
4-(81.29412630863503,0.0)
4-(103.720193711308,0.0)
5-(124.82131291934478,0.0)
4-(199.71984055587586,0.0)
2-(98.95109086768363,0.0)
3-(60.34087058411945,0.0)
5-(71.7514060274424,0.0)
2-(95.0005764801333,0.0)
2-(77.49842850588253,0.0)
2-(104.15311708149348,0.0)
4-(60.5692918320925,0.0)
3-(129.00974705278702,0.0)
3-(81.89515598030626,0.0)
2-(309.74009313377445,109.39233447978542)
5-(100.91258882423516,0.0)
2-(89.67989098541567,0.0)
3-(161.1254625892521,0.0)
3-(234.4124170448712,1.969852244074548)
2-(81.62896280917242,0.0)
3-(324.70114691983815,2.272908028438867)
2-(126.91672304508946,0.0)
4-(267.88441842475396,3.9154848003618117)
5-(148.27088027601022,0.0)
3-(144.6206714419019,0.0)
3-(80.82305439437434,0.0)
3-(231.70023606425158,13.925222868636155)
3-(243.63624343961058,3.491602214898878)
4-(239.26871335381497,0.0)
3-(175.0345770166291,0.0)
4-(70.48875124176355,0.0)
3-(177.00993526623373,0.0)
2-(83.72672981000352,0.0)
3-(110.2252535351449,0.0)
3-(257.3356044274917,0.0)
4-(313.9832679234816,0.0)
2-(107.94397075727285,0.0)
2-(92.15884996395961,0.0)
2-(105.24995733135326,0.0)
3-(149.87084049222062,0.0)
4-(51.88994158767767,0.0)
4-(287.4432021266743,0.0)
4-(121.27083985723851,0.0)
5-(135.9653163920933,0.0)
5-(142.11620854630291,0.0)
2-(109.34676211341208,0.0)
6-(396.281276453017,3.079906293676298)
2-(252.73737110093901,96.94616077406204)
4-(60.49519999109786,0.0)
4-(278.9431375195638,5.837375075147822)
5-(220.05567267992376,0.8595924714059522)
3-(277.23534652131343,0.0)
2-(117.20154403992152,0.0)
2-(161.1298385409391,0.0)
2-(219.71020359777384,22.631093932817905)
4-(77.08082042129807,0.0)
4-(94.37062147381594,0.0)
2-(168.6510003801414,0.0)
3-(175.2616909020986,0.0)
4-(62.64867839033055,0.0)
4-(79.23008809886232,0.0)
2-(102.77725641036942,0.0)
3-(199.09368062631845,0.0)
2-(133.7037430740276,0.0)
3-(118.13017420405708,0.0)
3-(146.0488717415713,0.0)
3-(185.99755108974864,0.0)
4-(111.1333355749771,0.0)
2-(89.96842599554017,0.0)
3-(264.02272961745797,59.79338288395372)
3-(166.76183742891757,0.0)
3-(178.02978714896796,2.0323035062667576)
3-(107.12738955466908,0.0)
2-(101.11710300957634,0.0)
4-(96.82934988985302,0.0)
2-(80.9123799342817,0.0)
2-(148.82391428832855,0.0)
2-(113.58974636809381,0.0)
2-(72.2551854847554,0.0)
3-(120.239945936495,0.0)
4-(309.66911164201025,0.0)
2-(111.45786712509131,0.0)
3-(248.30718281525156,0.0)
2-(113.91369969481424,0.0)
3-(181.96338221037274,0.0)
2-(53.224734025943754,0.0)
4-(67.83172509623068,0.0)
4-(47.15113321079685,0.0)
4-(307.29815530863846,0.0)
3-(240.75780310636557,0.0)
3-(304.1872251604419,2.107532737832161)
2-(258.5715358653003,30.677978831476306)
2-(110.87013121242342,0.0)
3-(315.402569743576,1.097688757808269)
3-(231.28577947394214,0.0)
2-(86.27720061016042,0.0)
3-(128.34644174510896,0.0)
4-(105.58374029277643,0.0)
3-(96.08729835447119,0.0)
2-(92.04941755203498,0.0)
3-(104.93948476574424,0.0)
5-(236.72017516218347,0.0)
3-(74.42899267521055,0.0)
3-(151.2739394641806,0.0)
4-(130.83455582109804,0.0)
2-(91.30308720122326,0.0)
4-(98.86333507551716,0.0)
5-(272.37406565234613,0.0)
4-(330.59875701436954,1.7942944749762253)
7-(177.80162249059234,0.0)
3-(104.80801763888448,0.0)
2-(79.90271860759732,0.0)
5-(138.6712997292102,0.0)
2-(71.99912750242028,0.0)
4-(239.0710705427146,0.0)
2-(90.99337999765763,0.0)
2-(77.24339009445606,0.0)
