Initial parameters - (120,110) cm
2-(127.88563563369406,0.0)
2-(158.97229707949182,0.0)
3-(114.11197263443795,0.0)
2-(179.88560724272523,0.0)
3-(103.16957078170817,0.0)
2-(62.03909803009481,0.0)
3-(99.74107942069296,0.0)
2-(134.72422225598962,0.0)
2-(148.98310599729407,0.0)
3-(105.16922038709534,0.0)
2-(101.59287575493985,0.0)
2-(146.2751211501192,0.0)
2-(110.74127824264374,0.0)
2-(302.5810766247652,9.346133640919392)
2-(98.17808538657908,0.0)
2-(175.76967082488724,0.0)
2-(189.29833242877433,0.0)
2-(123.71851944063191,0.0)
2-(133.34917848461794,0.0)
3-(91.79132602266259,0.0)
2-(109.79314968666918,0.0)
3-(132.6544222285475,0.0)
5-(113.2298645182361,0.0)
3-(45.58308126725749,0.0)
2-(125.59388669489198,0.0)
2-(120.16933379115393,0.0)
2-(149.2553654757208,0.0)
2-(136.2645618211936,0.0)
3-(121.7523999498115,0.0)
4-(53.321109791202446,0.0)
2-(174.58216096624665,0.0)
2-(94.50106286954586,0.0)
3-(109.67925522210385,0.0)
3-(169.5738999203375,0.0)
2-(212.24155641764182,0.0)
2-(290.0172720004689,4.915546983058795)
2-(200.1030118975099,4.754923054990334)
3-(174.292709721143,0.0)
2-(275.7844865711573,9.291360956455527)
3-(370.62456445629914,4.319633618371784)
4-(211.00535200877871,0.0)
3-(210.0704311652615,0.0)
4-(249.13196153899906,3.278052125513146)
3-(125.65445319670755,0.0)
2-(121.66036299115649,0.0)
3-(215.7018660517621,0.0)
2-(104.7134105425838,0.0)
2-(83.04618203912936,0.0)
4-(210.91834882841664,0.0)
4-(133.97849932897708,0.0)
2-(121.84720246181719,0.0)
2-(66.54947555633059,0.0)
5-(336.74188124958823,0.0)
2-(96.2648411475297,0.0)
3-(152.81301726916806,0.0)
4-(74.56009763632728,0.0)
5-(209.36845345138948,0.0)
3-(72.00047966334587,0.0)
2-(67.33792527848922,0.0)
2-(80.6725927490026,0.0)
2-(186.20678769893007,0.0)
3-(205.50573473797635,0.0)
4-(171.73455926716957,0.0)
2-(67.31397225850999,0.0)
2-(165.27960846090505,3.032653366255139)
3-(369.3830923787625,0.0)
4-(453.1056948995786,2.8860235343922205)
3-(206.08757858122252,0.0)
5-(221.35479612105001,0.0)
4-(132.59822455834163,0.0)
4-(225.42408508772246,0.0)
2-(67.24866565740494,0.0)
2-(139.41170737413907,0.0)
2-(161.2405122898676,0.0)
3-(150.31856488010382,0.0)
3-(135.23213311832555,0.0)
2-(67.24866565740494,0.0)
2-(139.41170737413907,0.0)
2-(161.2405122898676,0.0)
3-(150.31856488010382,0.0)
3-(135.23213311832555,0.0)
2-(256.4919000230685,8.465079208682129)
3-(141.98981864069307,0.0)
2-(95.0107501150532,0.0)
3-(287.5183116532021,1.7913913498641876)
3-(166.1848314923066,0.0)
4-(361.51713216810884,1.4422226017344766)
3-(59.26876179589943,0.0)
3-(181.79670800679762,0.0)
3-(166.4710934361503,2.9463910342681476)
2-(171.32719708963126,3.303830246907489)
2-(94.25965771578196,0.0)
2-(168.18389363742244,0.0)
2-(117.57075376719837,0.0)
2-(98.76747908350661,0.0)
2-(137.68483403206855,0.0)
2-(107.50130808626973,0.0)
3-(192.69782544000594,0.0)
3-(70.57413343276296,0.0)
3-(121.3232665955609,0.0)
4-(369.17211036266957,2.187038568499227)
3-(112.30778605999704,0.0)
3-(113.03089213650489,0.0)
3-(172.7087267316264,0.0)
2-(129.21778464587592,0.0)
2-(148.39190326954846,0.0)
2-(180.45365709711137,0.0)
2-(137.10003092922992,0.0)
4-(174.99533196140672,0.0)
2-(239.26548861127722,0.0)
2-(220.15498917896994,0.8771115106731869)
2-(127.9777823498411,0.0)
3-(193.37224356558912,6.719498811159467)
3-(132.53361904490131,0.0)
2-(142.58285635504473,0.0)
2-(98.2548955746964,0.0)
2-(100.11122820674012,0.0)
2-(147.89655843289336,0.0)
2-(142.79925064081561,0.0)
2-(133.36398130833905,0.0)
2-(143.0538346797922,0.0)
3-(152.92526453477788,0.0)
2-(184.52516865482238,0.0)
2-(270.46727097816586,6.403821179148775)
3-(316.610619693213,21.925943192050763)
3-(104.30399736496858,0.0)
4-(86.91366735680528,0.0)
2-(264.88031374236766,0.0)
2-(134.73275508545078,0.0)
2-(182.26533523964105,0.0)
2-(108.78304806784654,0.0)
3-(86.70211359758908,0.0)
3-(80.75876977382971,0.0)
2-(181.1977339868318,0.0)
2-(291.9862856942707,16.790235222251187)
5-(425.6712121859869,0.0)
4-(439.58263996569895,2.5646595097181972)
2-(255.34299146636008,0.0)
2-(90.56190157911252,0.0)
3-(144.5166935125697,0.0)
2-(121.83196879700833,0.0)
4-(255.32533308003016,3.7328265070179847)
3-(156.83296986606868,0.0)
4-(45.61665772286799,0.0)
3-(83.6207407795164,0.0)
4-(307.3430945267854,0.0)
2-(87.56918100083057,0.0)
4-(69.08714116688579,0.0)
4-(317.09163456967775,0.0)
2-(180.3864278386384,0.0)
2-(86.6585540454932,0.0)
3-(73.87866044722567,0.0)
4-(21.135476135298465,0.0)
3-(78.18668157393746,0.0)
4-(83.35220545568907,0.0)
4-(104.71115097606572,0.0)
5-(123.53117015015256,0.0)
4-(193.6562400835912,0.0)
2-(94.90676835265567,0.0)
3-(128.5122358241933,0.0)
5-(70.7408228439573,0.0)
2-(95.0005764801333,0.0)
2-(103.69203143664171,0.0)
2-(99.98699239823375,0.0)
4-(59.084750365619655,0.0)
3-(129.00974705278702,0.0)
3-(77.25958111349647,0.0)
2-(310.55951136957805,31.13789296053817)
5-(104.01759155728855,0.0)
2-(88.38393880354549,0.0)
3-(162.10001175813872,0.0)
3-(131.98010035299473,0.0)
2-(131.84453262717454,0.0)
3-(324.70114691983815,0.0)
2-(107.95506123556413,0.0)
4-(267.55812802472377,0.0)
5-(148.66004269143284,0.0)
3-(81.90398422254246,0.0)
3-(73.3873333900919,0.0)
3-(233.24748304965559,0.0)
3-(243.2482876379552,0.0)
4-(239.26871335381497,0.0)
3-(174.3142701153261,0.0)
4-(69.38304533993198,0.0)
3-(178.03906279685137,0.0)
2-(99.32053335627926,0.0)
3-(106.49932947198509,0.0)
3-(257.62507079917617,0.0)
4-(313.9832679234816,0.0)
2-(76.78695871373972,0.0)
2-(88.1402954597172,0.0)
2-(104.7592815395987,0.0)
3-(149.87084049222062,0.0)
4-(53.36408765550943,0.0)
4-(286.4485889705266,0.0)
4-(117.66873570306312,0.0)
5-(135.10204454198475,0.0)
5-(140.49202330577373,0.0)
2-(104.81581893191712,0.0)
6-(395.76795873740434,0.0)
2-(253.16071678117515,7.1968765640133405)
4-(59.22828480803823,0.0)
4-(278.1092267945426,3.3356429000844696)
5-(222.6344500941416,0.0)
3-(78.18036771901039,0.0)
2-(113.18143830768147,0.0)
2-(118.27615807792338,0.0)
2-(219.71020359777384,0.0)
4-(75.16179584649397,0.0)
4-(89.94699859223083,0.0)
2-(168.93444743960384,0.0)
3-(174.2205323422842,0.0)
4-(57.94097423383173,0.0)
4-(80.72499542148236,0.0)
2-(98.87051859360098,0.0)
3-(206.92129542017366,0.0)
2-(130.5203206198841,0.0)
3-(112.4534381439079,0.0)
3-(141.02425459449893,0.0)
3-(184.3427686067438,0.0)
4-(109.92207306189833,0.0)
2-(97.10473174022891,0.0)
3-(264.02272961745797,4.659224640308081)
3-(166.76183742891757,0.0)
3-(178.43624785022132,0.0)
3-(107.8163116739917,0.0)
2-(97.57947841448912,0.0)
4-(95.90127305384806,0.0)
2-(77.64790351042019,0.0)
2-(149.6553328039058,0.0)
2-(109.508677636306,0.0)
2-(109.19009873534266,0.0)
3-(119.19740305265258,0.0)
4-(330.9882220117636,0.0)
2-(107.59227635774714,0.0)
3-(241.8685523702112,0.0)
2-(110.50481092589214,0.0)
3-(109.37510158132513,0.0)
2-(53.537820696684605,0.0)
4-(69.24488603573549,0.0)
4-(45.048853386111645,0.0)
4-(307.29815530863846,0.0)
3-(132.7511775461488,0.0)
3-(310.50982337393845,0.0)
2-(259.3019639327164,0.0)
2-(107.03600563735401,0.0)
3-(313.57308848056215,0.0)
3-(149.63316438872445,0.0)
2-(85.27105249808855,0.0)
3-(127.23521714125519,0.0)
4-(104.43920110261082,0.0)
3-(89.98651750656826,0.0)
2-(87.96438422871982,0.0)
3-(106.09903708359776,0.0)
5-(235.4382969573341,0.0)
3-(69.48536954549178,0.0)
3-(81.0710821206094,0.0)
4-(133.2320476816941,0.0)
2-(59.490791070088385,0.0)
4-(97.04599435721721,0.0)
5-(270.7307832049715,0.0)
4-(326.11302082692896,0.0)
7-(186.03766494928462,0.0)
3-(100.04401683711703,0.0)
2-(78.92231715228938,0.0)
5-(137.16400299302313,0.0)
2-(112.11594341285975,0.0)
4-(81.2729924391705,0.0)
2-(87.5244241619698,0.0)
2-(80.52038240149359,0.0)
