Initial parameters - (120,110) cm
Number of elements - (Adaptive perimeter (cm) , Fixed perimeter(cm))
3-(98.83896293875092,0.0)
2-(110.41554728426637,0.0)
3-(308.15572684808023,2.703120410948072)
2-(89.61006998860672,0.0)
2-(170.39244083483152,0.0)
2-(304.5751722182513,27.517311351401414)
3-(55.627970536034695,0.0)
2-(119.45210471614637,0.0)
2-(167.07779628082005,0.0)
3-(46.46395689022043,0.0)
4-(237.39664394658763,0.0)
3-(239.17912892107665,0.0)
2-(97.47255280091179,0.0)
2-(240.5496160933302,0.0)
3-(114.79067152700023,0.0)
4-(346.63832775444996,0.0)
3-(125.96755465952576,0.0)
2-(170.17300952328895,0.0)
2-(320.99109045972625,10.998425688340873)
3-(235.5597704552248,0.0)
2-(108.31879515752308,0.0)
2-(145.06604358134481,0.0)
3-(156.14554066148128,0.0)
2-(265.0440986200749,0.0)
4-(148.2383542539358,0.0)
5-(68.08355072880848,0.0)
5-(223.44506504498142,0.0)
6-(63.30766231080645,0.0)
2-(106.69674759610724,0.0)
5-(112.03637903169852,0.0)
6-(154.84124262151937,0.0)
2-(181.25058149753605,0.0)
2-(296.0872661604762,30.86959749984407)
5-(153.37099973969907,0.0)
5-(165.07508884769638,0.0)
2-(101.47361921963436,0.0)
4-(73.64890164132242,0.0)
2-(276.399978796202,5.512250289382945)
7-(85.86114397936727,0.0)
7-(363.12071219253943,0.0)
2-(251.60084277415547,7.573269514941134)
7-(571.9664438876185,0.0)
7-(493.79812506300306,0.0)
2-(79.34672051976835,0.0)
3-(109.60176390695433,0.0)
2-(81.93402734017891,0.0)
2-(99.00645136746644,0.0)
3-(138.47436865043468,0.0)
2-(112.2298469700965,0.0)
4-(173.45908289426185,0.0)
4-(200.80289867978135,0.0)
2-(117.30273538073575,0.0)
2-(101.2068494506404,0.0)
6-(184.18572747920524,0.0)
2-(375.31036687895556,26.337569605540743)
2-(138.67270698082868,0.0)
3-(123.59377358376065,0.0)
7-(147.03541061935698,0.0)
3-(84.87608791858851,0.0)
2-(82.99436971040512,0.0)
2-(100.33087891762173,0.0)
3-(345.11543109891915,0.0)
2-(109.20320847056374,0.0)
3-(414.9249805635184,16.596999222540735)
3-(86.58319288219954,0.0)
3-(199.426406216799,0.0)
3-(174.14891001145318,0.0)
2-(91.70235303649362,0.0)
6-(373.6880100538842,0.0)
2-(181.62088902413996,0.0)
2-(92.89250336336099,0.0)
3-(108.90953301018956,0.0)
4-(221.39543138901595,1.4345276331901682)
2-(116.64730443444034,0.0)
3-(76.15762380584498,0.0)
