Initial parameters - (55,45) cm
Number of elements - (Adaptive perimeter (cm) , Fixed perimeter(cm))
3-(91.1731856680255,38.076157999290345)
2-(171.90795000443651,171.90795000443651)
2-(126.17675573767693,72.26486919521497)
2-(291.5577380912105,257.88367184968183)
2-(171.20699830911565,171.20699830911565)
2-(126.61367194255372,72.35066968145927)
2-(292.95524945271416,257.9372750283372)
2-(171.8017365214585,171.8017365214585)
2-(126.15218199665281,72.53750464807537)
2-(291.76741743380967,258.11832841589586)
2-(173.1327626906515,173.1327626906515)
2-(125.64654305454332,72.12512266456702)
2-(291.96335263479006,257.8654428380263)
2-(175.0696865803525,175.0696865803525)
2-(126.22267021458829,72.2911656683551)
2-(291.9927398458409,258.2190554420028)
2-(172.53049636197113,172.53049636197113)
2-(123.85322132989106,73.04164334839729)
2-(291.5712273796023,257.94476465991096)
2-(173.68876629876544,173.68876629876544)
2-(125.89449638710225,72.2674557848514)
2-(292.9472290277792,257.93021331308836)
2-(170.45127469145402,170.45127469145402)
2-(126.14514908618229,72.2467672039044)
2-(291.611198839252,257.9309580376425)
2-(173.22086786053617,173.22086786053617)
2-(124.98086342894072,71.05076482604163)
2-(292.83996149335456,258.262648255801)
2-(173.1164176499255,173.1164176499255)
2-(126.00618875055653,72.1671808298642)
2-(292.02985750595616,257.92418071693936)
2-(110.9293476157665,48.60948940466173)
2-(223.117103372291,174.92908992206247)
2-(110.34508879673677,48.21384510488048)
2-(224.49648426459177,175.2328964068242)
2-(111.34150774382054,48.68070405839688)
2-(224.11819084146086,174.86507810491565)
2-(108.68942757578006,49.70093916860151)
2-(224.1724022294275,174.9073757807775)
2-(109.82895470290134,47.84873195860037)
2-(223.45689878282272,175.19549756641428)
2-(110.93687603269217,48.61278837387634)
2-(224.15914260747144,174.96958112217948)
2-(109.72034268034031,47.90956139661918)
2-(224.93055332014717,174.87280206881132)
2-(110.37824281540432,50.88538258233089)
2-(223.44382673218445,174.926481784428)
2-(109.33563388796333,50.13315931729195)
2-(223.12299190879295,175.00488730216995)
2-(108.67734085045173,49.69541221337054)
2-(223.1712575041303,174.78456893022593)
2-(337.5692106432658,280.3106356733954)
3-(141.0407339334143,2.347669066753375)
2-(126.17675573767693,72.26486919521497)
2-(337.61144354094256,280.3457050162763)
3-(141.38373451466848,2.531166602564397)
2-(123.75017025303545,71.1207875017445)
2-(337.5074835192401,280.259378719774)
3-(140.7774977448735,1.9802461319611355)
2-(122.82946420129716,72.77717668133063)
2-(337.3089389314497,280.52148465564863)
3-(140.58071830251274,2.1655566362389638)
2-(124.52681938446351,71.2395991901965)
2-(337.27983170731915,280.42531001267594)
3-(139.73673028330768,2.517778924023562)
2-(126.48304347723135,71.98921522173485)
2-(337.670503547161,280.3947472492881)
3-(140.79540056458538,2.3496023200765213)
2-(126.57203099910447,72.32687485663112)
2-(337.15112573390684,280.2461768473464)
3-(140.48185230613788,2.3443698074195027)
2-(122.89710906839095,72.81725666113093)
2-(337.6890648897882,280.41016021227983)
3-(141.12792091766704,2.8949317111316324)
2-(122.70463839863193,72.41585216968441)
2-(337.27701497942076,280.4229680944233)
3-(141.3091065672481,2.7174828186009248)
2-(126.63159407604454,72.64805737242465)
2-(336.97706399621813,280.52912941817146)
3-(141.20787369914595,2.8965717681876093)
2-(122.95124731751778,72.5613918595187)
2-(141.40609867766292,121.20522743799677)
2-(291.5577380912105,257.88367184968183)
2-(140.25924766712208,119.79789859568312)
2-(291.5537032760377,257.9292615843487)
2-(140.205235507981,119.75176585740498)
2-(291.7068514951562,257.63889803586784)
2-(141.9046066767901,121.67988469715415)
2-(293.0201165266811,258.4215313391283)
2-(141.60329045139105,121.37424895833517)
2-(292.91534144289795,257.9021373637177)
2-(140.21013222650606,119.75594823110993)
2-(291.61569819190186,258.03313236513765)
2-(140.9237979823542,120.41376165628387)
2-(292.2073422536973,258.03104491408357)
2-(138.89412166584552,118.48787630261704)
2-(292.94334926231573,257.9267973096774)
2-(140.89456749046153,120.3887853674366)
2-(293.19840013591914,258.20237566554744)
2-(139.72376108805835,119.62199357303109)
2-(291.72206479050743,257.6523345959956)
