Initial parameters - (55,45) cm
Number of elements - (Adaptive perimeter (cm) , Fixed perimeter(cm))
1-(488.2034983678538,488.2034983678538)
4-(28.274333882308138,0.0)
2-(223.6886951376274,194.09414268814746)
2-(125.03538761287378,102.41592050702724)
2-(243.29028182494523,209.85228100540303)
3-(234.15337244755926,234.15337244755926)
3-(99.90264638415542,51.52211951887261)
2-(238.3840505543935,237.94422758289096)
6-(85.39782203089638,85.39782203089638)
2-(250.69909375646552,250.69909375646552)
