Nb of members - (Sx,Sy)
1-(80.0,60.0)
4-(40.40900412937691,30.306753097032683)
2-(46.666666666666664,35.0)
2-(50.0,37.5)
2-(39.94762751222011,29.96072063416508)
3-(73.10688683172367,54.83016512379275)
3-(40.40900412937713,30.30675309703285)
2-(56.4074103146698,42.30555773600235)
6-(60.43705880171364,45.327794101285235)
2-(80.0,60.0)
