Initial parameters - (75,65) cm
Number of elements - (Adaptive perimeter (cm) , Fixed perimeter(cm))
3-(104.22441925272133,2.5343323830448954)
2-(111.46214014952008,3.9247232447014113)
3-(245.44333331408495,145.42787810900626)
2-(88.63868711610152,0.0)
2-(175.4132125721378,78.1357601618288)
2-(305.7060206299527,186.58998793073562)
3-(67.96058664543861,0.0)
2-(87.3747860148165,0.0)
2-(172.99787567659712,81.89443164158304)
3-(58.91508259282852,0.0)
4-(237.39664394658763,38.28978128170768)
3-(241.4570253869917,0.0)
2-(105.38910531266097,4.947845319843238)
2-(243.50567896390876,151.4982221171511)
3-(120.14533842038799,2.008000085020412)
4-(355.4511665956648,22.032097103037074)
3-(126.53625693789833,0.0)
2-(177.2770061257792,76.5294179450085)
2-(320.99109045972625,212.22888087502204)
3-(235.94656810786063,95.53902020105176)
2-(117.07182910964615,0.2735323110038461)
2-(151.4930201957082,51.72185942035291)
3-(158.27203635142362,0.0)
2-(266.52479190845526,162.87626172183374)
4-(153.93982941754874,1.6289929038894044)
5-(75.31742799374439,0.0)
5-(216.55805961551283,2.2956684764895354)
6-(118.70186683276211,0.0)
2-(96.90076828827607,0.264756197508951)
5-(114.34640746534178,0.0)
6-(157.59222916555652,0.0)
2-(89.71218958253358,0.0)
2-(295.6524830970981,212.17413492850568)
5-(162.41816545468131,0.43081741499915466)
5-(93.72549801582761,0.0)
2-(108.54602298342708,2.7674623423536646)
4-(74.89718810981942,3.744859405490971)
2-(277.97490745031143,181.9042595496372)
7-(79.14574724355084,5.276383149570055)
7-(363.59291077796536,5.19418443968522)
2-(252.44231716470446,182.5999427491362)
7-(521.633396825508,2.287865775550474)
7-(490.1326034559606,4.189167550905646)
2-(89.05274137845561,0.0)
3-(114.43713584402585,7.253057905607272)
2-(89.84810952644621,0.0)
2-(84.79499901806933,0.0)
3-(145.93705917650598,53.8972093549596)
2-(85.86005209930315,0.0)
4-(177.34829999951435,2.333530263151505)
4-(201.4989225920163,0.696023912234944)
2-(117.01166159567192,7.276844626596512)
2-(109.0867014759944,4.432416764261624)
6-(184.61707578711903,2.156741539569148)
2-(248.56081315229073,163.37523645936992)
2-(145.3366128082827,52.35926007285293)
3-(137.00055580301603,27.232526382862513)
7-(148.31769617708395,0.0)
3-(95.11975370186643,1.4633808261825605)
2-(91.99375919707555,0.0)
2-(112.11673517601703,3.3242158677525264)
3-(321.64758178419265,2.760923448791353)
2-(119.13077287697864,2.647350508377303)
3-(414.9249805635184,165.96999222540737)
3-(92.91042620820642,1.9980736818969127)
3-(204.24153071297923,44.53990158966738)
3-(173.77032542447176,35.96553576323489)
2-(100.67628360887218,1.6826119823209837)
6-(374.54607666709643,1.2870999198182007)
2-(189.18842606681247,125.0635069157455)
2-(96.64032770655132,1.873912171595178)
3-(114.3073815850386,0.952561513208655)
4-(224.2644866553963,62.162864104907285)
2-(121.20383976391066,19.44121740574006)
3-(78.2986011819129,0.0)
2-(135.5697510794954,8.23298083478717)
2-(169.0045294194598,100.70817848967809)
3-(116.29942258909172,19.32247459944157)
2-(186.67374336509224,97.07034654984795)
3-(104.64870441298714,0.7395668156394851)
2-(66.71802441783939,0.0)
3-(110.09994523589846,2.0717731630411)
2-(110.05640691334364,1.3553744693761531)
2-(159.7237485226804,75.8774423567614)
3-(117.26536075110631,3.0240350910027414)
2-(107.01672538456705,0.0)
2-(153.71283917470154,75.43971139219222)
2-(120.71796997621527,3.9906766934286035)
2-(303.3599210948419,194.32169528411566)
2-(82.25731478335003,0.0)
2-(179.31081803930803,83.37792077590804)
2-(193.50496203830266,109.02181738027559)
2-(133.2092551785434,43.3862205161668)
2-(141.22757633819492,31.8053839274034)
3-(98.22863979568045,0.0)
2-(119.31278694273878,11.740885949152485)
3-(73.22261424991608,3.2835253026868196)
5-(109.47119681638593,3.7586677018501606)
3-(51.66082543622515,0.0)
2-(147.7575137586964,10.074375938092938)
2-(126.03125251267363,17.29266022848313)
2-(150.46882373162094,52.178705003707265)
2-(143.40061119337582,59.80688997638422)
3-(138.9778198784022,3.131894532471035)
4-(70.67162964389532,2.1159170552064466)
2-(182.89559720273462,104.82158732963049)
2-(103.42151718171539,2.7876419725529753)
3-(128.41160326746316,0.0)
3-(170.20079049305593,0.6268905727184381)
2-(149.70884821331487,51.44316389222959)
2-(290.0172720004689,182.25335737187226)
2-(202.48047342500507,136.7040378309721)
3-(184.20347164646293,2.050502467307565)
2-(275.36215198222743,196.3855838523555)
3-(367.1688575616016,159.826443879756)
4-(214.82637447976262,72.17486889636294)
3-(204.74822948149188,35.690058349984824)
4-(249.5417180546882,37.28784292771203)
