Initial parameters - (75,65) cm
3-(138.13668364671165,44.936029620014615)
2-(126.62076405731952,3.916106104865552)
3-(215.7018660517621,60.45147838393333)
2-(102.86241591178056,4.230844870407426)
2-(91.68095326032322,0.0)
4-(208.1431073964638,23.127011932940423)
4-(143.22868525146768,0.29839309427389105)
2-(113.61428337655927,4.939751451154751)
2-(71.2098029762417,0.0)
5-(337.5028798512822,2.2829958050819537)
2-(108.00445592161867,3.815374801578921)
3-(164.07612810374818,1.2176336037383908)
4-(76.23937911462293,0.0)
5-(214.87814959484712,3.8144050223937356)
3-(83.29467255171386,0.3529435277614994)
2-(71.91251259360396,0.0)
2-(89.21735335170071,0.0)
2-(190.32185483039817,102.19083376479036)
3-(209.7310862933366,85.27527684454347)
4-(219.75014012350064,1.7523934619098933)
2-(75.35146148340672,0.0)
2-(208.24219781618618,208.24219781618618)
3-(368.97583428352686,48.46371333304602)
4-(449.257663520389,123.13700413406806)
3-(104.63397122410835,4.770545800491262)
5-(322.969280692748,6.591209810056081)
4-(137.44937911535413,34.49709907208888)
4-(203.1218544473846,0.34311124062058207)
2-(72.15017190065602,0.0)
2-(147.33282711130607,11.353604956606025)
2-(168.6255739214646,66.77326558568944)
3-(149.63684803257502,23.519231239744137)
3-(147.98259138376767,25.88729405407946)
2-(72.15017190065602,0.0)
2-(147.33282711130607,11.353604956606025)
2-(168.6255739214646,66.77326558568944)
3-(149.63684803257502,23.519231239744137)
3-(147.98259138376767,25.88729405407946)
2-(257.3384079439367,185.38523467013863)
3-(147.86019873953305,1.1006962685325044)
2-(97.63950604709024,0.0)
3-(284.3833767909398,129.42802502768754)
3-(167.85503080378706,25.47053950007714)
4-(359.59416869912957,131.7229976250822)
3-(65.52490887435548,0.0)
3-(185.1633137106272,35.1623262399979)
3-(169.4174844704185,65.18890163318277)
2-(186.90239682505228,171.79917283918945)
2-(82.9575404836738,0.0)
2-(175.19155587231504,108.2294500722302)
2-(85.524211002715,0.0)
2-(110.77568322739798,2.7018459323755604)
2-(144.3042972066872,53.948624873142236)
2-(117.09963916540093,0.9598331079131224)
3-(191.91924836752108,35.035968261819264)
3-(75.83259827677274,0.0)
3-(118.61860778610573,13.523294047275897)
4-(370.92174121746893,0.8748154273996909)
3-(63.404996334172516,0.0)
3-(125.71063965181796,0.7245570008750314)
3-(171.15628873853316,20.95791290675916)
2-(112.40334921067281,2.7640167838690037)
2-(139.08597035264455,10.563491419188194)
2-(183.660426447787,69.67435225558904)
2-(129.2311549818569,26.935767666007642)
4-(181.97962458957812,16.684699056187334)
2-(240.7025185729065,144.06225365333657)
2-(225.85621399834565,171.03674458127145)
2-(140.12997533261534,65.31803728241148)
3-(196.35868748166,65.32846066405038)
3-(137.65734143065777,28.692845360236365)
2-(149.4689602131009,93.1649345501713)
2-(109.81429505407245,1.5209736157073745)
2-(90.34427911339962,0.0)
2-(156.40567549341597,96.0314639687554)
2-(120.28200353378084,7.125711109821139)
2-(146.17973927190317,91.3122754903943)
2-(90.83918502166803,0.0)
3-(151.73979736784162,0.5927335834681313)
2-(189.58932422682435,86.40715444728389)
2-(271.9740524320832,169.8896089291822)
3-(319.6802517401001,186.80903599627248)
3-(107.96378674619557,0.0)
4-(89.30578664185497,1.1960596425248433)
2-(271.3937640802948,154.87537470182153)
2-(147.75827823570583,97.69142362691294)
2-(189.23088945262097,119.96232255687627)
2-(116.00206041102173,5.227560662299262)
3-(90.09707587701276,2.0892075565684114)
3-(91.87773082964684,0.0)
2-(189.88012540703417,118.15602237057992)
2-(292.80532155877074,197.797161276764)
5-(426.1369356128862,1.3971702806979878)
4-(442.1472994754172,132.8493626034026)
2-(255.69616296216415,149.74471422093592)
2-(99.78579896217028,0.0)
3-(146.44358275940397,41.620807731620076)
2-(130.468158990214,30.22666567621979)
4-(254.5787677786265,7.838935664737768)
3-(162.7980907484548,1.739826924029288)
4-(52.54577028836692,0.0)
3-(93.30314234346038,2.0538427559881214)
4-(306.273454986669,2.495825593604986)
2-(96.09361454958399,0.0)
4-(73.1172244016208,0.0)
4-(310.6411623460976,2.376489766582168)
2-(180.3864278386384,53.66429811988948)
2-(85.00115000637176,0.0)
3-(52.53593631802714,0.0)
4-(37.28063151642923,0.0)
3-(79.7400593535521,0.0)
4-(85.41028460274312,0.0)
4-(109.33561821160174,0.0)
5-(117.40299199648966,2.9028212306824366)
4-(206.16241605767834,0.7579500590355821)
2-(103.80427788571717,2.1569720080149017)
3-(66.55920457561268,0.0)
5-(69.0565175381488,0.0)
2-(99.41380619436931,0.0)
2-(82.04442570874156,0.0)
2-(111.89020577897587,3.868544348741187)
4-(59.67856695220879,0.0)
3-(138.48503920920638,31.341350978925657)
3-(88.69399911829395,2.7813449200858726)
2-(309.74009313377445,205.67397718671268)
5-(107.51071963197361,0.0)
2-(96.93722320388864,0.0)
3-(161.1254625892521,3.57334695258422)
3-(133.94995259706926,30.20440107580973)
2-(86.21485959620458,0.0)
3-(324.70114691983815,52.60158580101378)
2-(111.7473935974692,1.2641107873016877)
4-(270.168451224965,4.241775200391963)
5-(154.10831650734923,1.1674872462677972)
3-(87.63153556677621,0.0)
3-(87.93548318107928,0.0)
3-(232.08704781060254,116.43033565165227)
3-(244.8001108445769,78.36707193439705)
4-(239.26871335381497,3.9076548663311486)
3-(177.55565117118962,19.08813288452951)
4-(78.22869255458465,0.0)
3-(177.00993526623373,8.576062755146982)
2-(90.92386990828463,0.0)
3-(115.81413962988465,4.967898750879771)
3-(258.20400354254514,1.736798230106806)
4-(313.9832679234816,0.3139832679234816)
2-(81.6112702559642,0.0)
2-(96.71321173543436,0.0)
2-(108.19401208188062,1.2266894793864016)
3-(149.87084049222062,0.0)
4-(64.56759777103075,0.0)
4-(287.4432021266743,2.652301749727098)
4-(121.27083985723851,3.2018703592670237)
5-(135.10204454198475,1.2949077751627933)
5-(138.46179175511227,0.0)
2-(116.89833408257039,3.624754545195981)
6-(396.281276453017,22.585979486959516)
2-(254.0074081416473,183.73202522245822)
4-(63.979216744511874,0.0)
4-(225.57285111821227,88.81149221474901)
5-(228.22180115828033,25.35797790647559)
3-(86.4974281146498,2.7723534652131345)
2-(124.6232776994416,21.64672317360028)
2-(125.37762512608026,4.40780713333876)
2-(219.71020359777384,107.49769618088504)
4-(78.04033270870012,0.0)
4-(95.10789195408015,0.0)
2-(170.9185768558408,56.122517773559665)
3-(177.3440080217275,2.0823171196288945)
4-(63.735071657214895,0.0)
4-(79.23008809886232,1.494907322620044)
2-(110.59073204390626,2.7046646423781424)
3-(186.1610996625576,1.7016553899685336)
2-(137.94830634621897,7.693270930846827)
3-(120.83338185174716,2.9735284124591024)
3-(152.0784123180582,26.128009164776522)
3-(192.2857245251672,0.9928694898029288)
4-(115.37275437075279,0.0)
2-(97.10473174022891,0.0)
3-(264.02272961745797,144.82423256957622)
3-(166.76183742891757,0.0)
3-(182.50085486275484,38.20730591781504)
3-(111.94984438992749,2.4112274176292074)
2-(109.07675834852257,2.9480204959060154)
4-(96.51999094451804,0.0)
2-(85.57591768265529,0.0)
2-(155.752401918139,30.208206065973577)
2-(121.75188383166942,12.583295256345721)
2-(76.49361815285557,0.0)
3-(122.67254599879402,1.737571473070737)
4-(310.7531342031842,0.36134085372463276)
2-(119.83331378767045,18.361556144884986)
3-(243.54819509500433,1.9595831789253222)
2-(118.7429587841206,0.568148128153687)
3-(114.63036171736478,14.451965374109024)
2-(53.537820696684605,0.0)
4-(72.4244981496213,0.0)
4-(52.857321306370984,0.0)
4-(307.64815320762324,1.3999915959391276)
3-(144.12029602617162,1.6719291882386498)
3-(196.35180007469637,51.98580753319332)
2-(260.76282006754855,156.676820460754)
2-(116.94083003961661,2.875594181302048)
3-(316.5002585013843,42.44396530191973)
3-(155.70963806948484,10.254049336283149)
2-(93.82331145069921,0.0)
3-(129.73547249992615,3.3336738115612716)
4-(106.15600988785921,0.0)
3-(102.18807920237411,2.440312339161173)
2-(96.95145754001318,0.0)
3-(104.64959668628084,0.0)
5-(236.72017516218347,0.0)
3-(81.29513591093108,0.0)
3-(92.23304270243241,0.0)
4-(135.62953954229013,0.0)
2-(64.16378372211949,0.0)
4-(103.22495279943703,3.9981495802598843)
5-(271.5524244286588,2.0541030592182965)
4-(331.94447787060165,38.57733121198884)
7-(171.0189992893163,2.4223654290271432)
3-(111.06076869120432,3.27525055121514)
2-(87.74593025006087,0.0)
5-(140.17859646539725,0.0)
2-(76.64423250257644,0.0)
4-(87.13805374921374,0.0)
2-(96.0633923728937,0.0)
2-(81.69073679686414,0.0)
