Initial parameters - (95,85) cm
Number of elements - (Adaptive perimeter (cm) , Fixed perimeter(cm))
3-(53.287177770208814,0.0)
3-(118.82734814350513,0.0)
3-(173.87305522644638,3.1048759861865425)
2-(111.2516755507274,0.0)
2-(139.84050545401513,0.0)
2-(181.32823055638653,7.579636647051528)
2-(124.69141885837244,0.0)
4-(177.71144576125116,1.5520650284825428)
2-(239.9840035920919,69.6959531390207)
2-(221.90921220031632,109.63893883414836)
2-(135.19314693336332,1.5190241228467787)
3-(192.62563258657138,5.22627685312403)
3-(136.29101546112273,0.0)
2-(142.17779142221792,18.632986910034255)
2-(102.81781642181852,0.0)
2-(83.50741474806128,0.0)
2-(152.7589110389063,24.71695908056574)
2-(115.43651997910243,0.0)
2-(137.7693981083142,2.4029546181682715)
2-(86.78599303907393,0.0)
3-(151.1470637843735,0.0)
2-(187.6902658873236,8.862272251003475)
2-(270.46727097816586,97.56409914114897)
3-(321.8728460593052,112.69934800714091)
3-(105.52392715871089,0.0)
4-(89.70447318936326,0.0)
2-(255.47199658758416,80.33255416776726)
2-(139.61732626679643,3.6634283860092354)
2-(184.20021140991324,48.75887949085939)
2-(125.95931881540126,0.0)
3-(86.17981170844698,0.0)
3-(85.73304182511632,0.0)
2-(185.35018205736338,47.18690989240412)
2-(292.80532155877074,131.86477418450932)
5-(423.8083184783896,0.0)
4-(272.3668399320725,77.45271719348955)
2-(256.0493344579682,72.75332813564339)
2-(94.75458220777513,0.0)
3-(144.13131566320288,0.770755698733705)
2-(125.53319316552505,0.0)
4-(254.5787677786265,3.359543856316186)
3-(159.06989019696348,0.0)
4-(48.21507493493009,0.0)
3-(87.43502018349432,0.0)
4-(306.63000150004115,0.0)
2-(91.70223969113526,0.0)
4-(70.52645660786258,0.0)
4-(312.67815357459665,0.0)
2-(179.85509815428304,0.0)
2-(80.50248190018496,0.0)
3-(46.203479708264936,0.0)
4-(28.767731406378463,0.0)
3-(79.48116305694967,0.0)
4-(81.98015269098637,0.0)
4-(107.02338459383374,0.0)
5-(125.46638430394088,0.0)
4-(199.71984055587586,1.5159001180711642)
2-(98.95109086768363,0.0)
3-(60.571179250471054,0.0)
5-(71.4145449662807,0.0)
2-(95.23285172825099,0.0)
2-(77.71490456316153,0.0)
2-(104.15311708149348,0.0)
4-(61.163108418681645,0.0)
3-(129.37418136649543,2.551040195959065)
3-(82.51323262921423,0.0)
2-(309.74009313377445,133.56517243599268)
5-(105.18196758218357,0.0)
2-(92.53098578553004,0.0)
3-(161.45031231221432,0.0)
3-(159.2297230626926,2.954778366111822)
2-(82.08755248787563,0.0)
3-(324.70114691983815,6.169321791476925)
2-(112.75868222731053,0.0)
4-(268.2107088247841,4.241775200391963)
5-(153.32999167650402,0.0)
3-(114.26464931746307,0.0)
3-(82.11622326468434,0.0)
3-(232.08704781060254,40.61523336685545)
3-(244.8001108445769,7.371160231453186)
4-(239.26871335381497,0.0)
3-(176.1150373685836,1.440613802606001)
4-(71.04160419267936,0.0)
3-(177.3529777764396,0.0)
2-(83.72672981000352,0.0)
3-(111.15673455093489,0.0)
3-(257.3356044274917,0.0)
4-(313.9832679234816,0.0)
2-(101.91358132949225,0.0)
2-(92.15884996395961,0.0)
2-(105.74063312310783,0.0)
3-(149.87084049222062,0.0)
4-(56.607209004739275,0.0)
4-(287.4432021266743,0.0)
4-(121.67107365214689,0.0)
5-(136.39695231714757,0.0)
5-(138.86783806524457,0.0)
2-(109.34676211341208,0.0)
6-(396.7945941686297,1.539953146838149)
2-(252.73737110093901,116.84340774515776)
4-(61.12865758262768,0.0)
4-(226.4067618432334,24.60036638812296)
5-(220.48546891562677,1.7191849428119044)
3-(243.68986959223452,0.0)
2-(117.20154403992152,0.0)
2-(151.57958975203846,0.0)
2-(219.71020359777384,29.86047116135696)
4-(77.72049527956611,0.0)
4-(95.10789195408015,0.0)
2-(168.93444743960384,0.0)
3-(175.2616909020986,0.34705285327148244)
4-(63.735071657214895,0.0)
4-(79.52906956338633,0.0)
2-(103.077774703967,0.0)
3-(195.35003876838766,0.0)
2-(133.96902827853958,0.0)
3-(118.94113649836413,0.0)
3-(146.0488717415713,1.6748723823574694)
3-(186.32850758634964,0.0)
4-(111.43615120324677,0.0)
2-(93.02684274326394,0.0)
3-(264.02272961745797,79.98335632528872)
3-(166.76183742891757,0.0)
3-(180.06209065523473,0.8129214025067031)
3-(109.88307803195961,0.0)
2-(101.41190505916694,0.0)
4-(97.44806778052302,0.0)
2-(81.37873370911906,0.0)
2-(228.08581277336015,0.0)
2-(114.26992449005844,0.0)
2-(72.2551854847554,0.0)
3-(120.58746023110916,0.0)
4-(309.66911164201025,0.0)
2-(115.00132532849018,0.0)
3-(242.98831418673993,0.0)
2-(114.48184782296794,0.0)
3-(156.34398904717946,0.0)
2-(53.224734025943754,0.0)
4-(68.89159580085929,0.0)
4-(47.751784589278344,0.0)
4-(307.64815320762324,0.0)
3-(222.70096787338815,0.0)
3-(304.1872251604419,0.3512554563053602)
